date,store_id,prescription_id,prescription_flag,product_id,product_category,manufacturer,units_sold,price,discount_percent,promotion_flag,expiry_date,inventory_level,safety_stock,reorder_point,order_quantity,lead_time_days,stock_out_flag,holiday_flag,special_event_flag,delivery_time_hours,delivery_delay_flag,competitor_price_index,customer_segment_id,day_of_week,month_of_year
2025-09-13,store_4,e2e42f85-059d-4c23-b5b3-eaa077a33970,1,prod_2,OTC,Sun Pharma,5,64.85,0,0,2026-04-10,17,11,24,55,9,0,1,0,21.75,0,0.97,wholesale,5,9
2025-07-30,store_4,7e3726d5-6f6d-4d9e-90ca-7c0e057ea1ff,1,prod_17,Supplement,Novartis,6,36.6,0,0,2026-01-21,0,10,15,86,3,1,0,0,27.68,0,1.11,retail,2,7
2025-04-12,store_2,8b262d5f-ea43-4090-98f2-3ec3b7518a4a,1,prod_15,OTC,Novartis,6,13.57,30,1,2025-09-15,19,25,40,59,7,0,1,0,28.64,0,1.17,retail,5,4
2025-08-17,store_1,ada10ed1-c590-4833-bcd9-195031b6d613,1,prod_13,Supplement,Novartis,2,31.53,20,1,2026-03-25,15,27,36,90,9,0,1,0,26.34,0,0.86,retail,6,8
2025-02-15,store_2,89ac7340-1449-4081-8c3e-62eb37a69d2b,0,prod_11,Prescription,Pfizer,5,85.03,30,1,2025-04-27,3,19,25,83,12,1,1,0,17.06,0,1.1,wholesale,5,2
2025-08-11,store_5,13bc9fe0-2d3f-4f79-b75f-e32ff02b6d5e,0,prod_18,OTC,Sun Pharma,4,32.79,30,1,2025-11-24,11,18,32,39,2,0,0,0,24.42,0,1.05,retail,0,8
2025-12-10,store_2,dde6660e-8181-4b05-b8ec-afecca1a63e6,0,prod_15,Prescription,Sun Pharma,3,48.05,0,0,2026-10-29,10,26,38,42,12,0,0,0,20.14,0,0.9,retail,2,12
2025-05-12,store_2,0ee39e95-f253-4203-88d6-c2b76865f1c5,0,prod_15,Prescription,Novartis,5,54.78,20,1,2025-09-03,18,20,33,79,3,0,0,0,21.92,0,0.82,retail,0,5
2025-07-11,store_1,ceda6790-02ff-44cf-99d4-a7b394a49acd,0,prod_8,Supplement,Pfizer,7,20.9,30,1,2025-11-27,21,17,36,65,3,0,0,0,27.57,0,0.8,retail,4,7
2025-05-24,store_4,3ec090b3-7311-4938-b0ae-af39f20f834f,0,prod_10,Prescription,Sun Pharma,6,62.96,10,1,2025-12-30,5,23,35,75,10,1,1,0,25.06,0,0.87,wholesale,5,5
2025-12-20,store_2,0b17e31d-3ea9-4dd2-95eb-0bef0a04c70c,0,prod_13,Supplement,Novartis,5,93.25,50,1,2026-08-29,17,18,32,51,8,0,1,0,19.77,0,0.93,retail,5,12
2025-08-16,store_4,b6e90467-9b79-46c7-9420-4f103f89bc72,0,prod_4,OTC,Novartis,7,49.39,10,1,2026-04-14,15,27,40,99,10,0,1,0,25.52,0,0.89,retail,5,8
2025-10-28,store_4,cad08267-bbcd-4896-befb-382b7d01396d,1,prod_3,Prescription,Sun Pharma,4,78.06,20,1,2026-06-23,11,23,38,30,12,0,0,0,17.31,0,0.88,retail,1,10
2025-03-02,store_4,6db27bd6-6ee2-4c19-8a68-7ad70cc49908,1,prod_20,OTC,Novartis,6,18.53,10,1,2025-04-15,16,13,28,95,5,0,1,0,26.07,0,0.83,wholesale,6,3
2025-05-23,store_2,37ac1834-becb-4f66-9a1d-46ae5b153a64,1,prod_9,OTC,Pfizer,5,10.8,30,1,2026-03-09,4,11,17,83,13,1,0,0,31.29,0,0.93,retail,4,5
2025-10-21,store_1,6b64d829-174e-407e-ba63-b819eabe2a25,1,prod_5,Supplement,Pfizer,7,12.69,0,0,2026-01-22,21,24,36,62,1,0,0,0,25.34,0,0.91,wholesale,1,10
2025-05-19,store_4,e0c5d186-d6dc-47ad-b89a-3efe2b4f8ef1,0,prod_17,OTC,Novartis,10,72.08,30,1,2026-04-19,11,15,22,82,4,0,0,0,32.82,0,0.86,retail,0,5
2025-01-23,store_1,c6225e8b-a1a5-4e83-bfec-7bdd07ef92d2,1,prod_4,Supplement,Sun Pharma,9,41.93,30,1,2025-07-12,3,15,20,35,8,1,0,0,20.27,0,0.86,wholesale,3,1
2025-09-12,store_1,3bfcf884-147d-49c8-bc18-1b8cb59fa82f,0,prod_3,Prescription,Sun Pharma,3,42.81,50,1,2026-05-30,15,17,27,42,11,0,0,0,27.01,0,0.87,retail,4,9
2025-07-28,store_1,221064c3-bcf1-4f1a-b4ab-d01e745a431c,0,prod_4,OTC,Pfizer,9,40.65,20,1,2025-09-13,9,26,41,45,6,0,0,0,22.81,0,1.08,wholesale,0,7
2025-04-17,store_3,4a77047b-3fd8-4af1-805a-91704ca98056,0,prod_1,Prescription,Novartis,8,49.66,30,1,2025-10-26,21,13,27,78,12,0,0,0,27.03,0,0.99,retail,3,4
2025-11-04,store_1,0adc0189-7c63-4da6-a732-15e5eea7b930,0,prod_1,Supplement,Pfizer,6,95.59,50,1,2026-05-22,1,14,32,98,5,1,0,0,25.14,0,1.13,wholesale,1,11
2025-06-12,store_3,b769a416-5243-42fa-9fe4-ff09c0d6d097,0,prod_15,Prescription,Sun Pharma,7,33.78,30,1,2026-05-03,7,24,43,99,13,0,0,0,20.9,0,0.84,wholesale,3,6
2025-08-11,store_3,89274854-95d9-4b02-82b8-913695a6134e,0,prod_17,Prescription,Sun Pharma,8,18.72,10,1,2026-03-06,9,15,25,82,7,0,0,1,24.38,0,0.82,wholesale,0,8
2025-01-31,store_1,0233e369-6d51-41f2-ac51-9f6df5815092,0,prod_10,OTC,Pfizer,5,28.92,10,1,2025-12-06,12,17,24,96,2,0,0,0,28.14,0,0.96,wholesale,4,1
2025-04-15,store_3,d6664778-a15b-44b0-af28-0f4f8771bc0b,0,prod_19,Prescription,Novartis,5,8.32,50,1,2025-09-16,6,10,23,87,1,0,0,0,30.64,0,1.07,retail,1,4
2025-07-11,store_5,b9807aa6-6ead-4e29-ad38-6b3151f68c11,0,prod_1,OTC,Pfizer,5,44.74,50,1,2025-08-20,5,28,42,85,1,0,0,0,21.19,0,1.06,wholesale,4,7
2025-04-26,store_4,1b6569b0-96ea-4783-bf5c-c9c57064e6f6,0,prod_18,Supplement,Novartis,6,81.14,50,1,2026-01-29,6,24,30,80,5,0,1,0,27.34,0,0.88,retail,5,4
